Opp,Ranks,Defense,,,,,,numberFire,,DraftKings,,,
Player,Team,Pos,Points Allowed,Yards Allowed,Sacks,INTs,Fumbles,TDs,CI,FP,FP,Cost,Value
"Philadelphia D/ST (D, PHI)",TEN,1,14.90,279.30,2.78,1.56,0.96,0.24,3.72-19.7,11.71,10.58,$3400,3.11
"Buffalo D/ST (D, BUF)",NYJ,2,14.70,287.30,3.37,1.40,0.84,0.14,3.98-18.56,11.27,10.41,$3300,3.15
"Indianapolis D/ST (D, IND)",JAC,3,15.90,309.60,2.71,1.46,0.82,0.18,4.43-18.03,11.23,10.15,$3200,3.17
"Kansas City D/ST (D, KC)",OAK,4,17.10,292.40,2.74,1.20,0.67,0.26,3.76-18.62,11.19,9.6,$3400,2.82
"San Francisco D/ST (D, SF)",WSH,5,17.50,320.00,2.40,1.42,1.08,0.14,3.88-17.78,10.83,10.12,$3100,3.26
"Houston D/ST (D, HOU)",CIN,6,18.50,308.00,2.94,1.41,0.68,0.16,4.11-17.41,10.76,9.8,$3000,3.27
"New York Jets D/ST (D, NYJ)",BUF,7,17.90,321.20,2.90,0.98,0.86,0.24,3.01-18.07,10.54,9.34,$2800,3.34
"New England D/ST (D, NE)",DET,7,18.10,316.30,2.85,1.28,0.86,0.18,4.71-16.37,10.54,9.61,$3300,2.91
"Green Bay D/ST (D, GB)",MIN,7,18.20,316.70,2.84,1.16,0.58,0.20,3.28-17.8,10.54,9.44,$3400,2.78
"Denver D/ST (D, DEN)",MIA,8,20.30,335.70,2.44,1.28,0.76,0.24,1.42-18.34,9.88,9.92,$3100,3.2
"Chicago D/ST (D, CHI)",TB,9,21.10,346.80,2.45,1.16,0.68,0.24,3.21-16.11,9.66,8.21,$2900,2.83
"Seattle D/ST (D, SEA)",ARI,10,21.80,330.90,2.30,1.00,0.74,0.28,0.67-18.51,9.59,8.26,$3200,2.58
"Tennessee D/ST (D, TEN)",PHI,11,23.20,364.60,2.40,1.08,0.84,0.22,1.63-17.25,9.44,8.24,$2600,3.17
"Washington D/ST (D, WSH)",SF,12,22.20,333.70,2.26,0.94,0.74,0.22,1.78-16.74,9.26,7.94,$2800,2.84
"Dallas D/ST (D, DAL)",NYG,13,21.30,334.10,2.38,1.14,0.76,0.16,0.67-16.95,8.81,7.98,$3000,2.66
"Arizona D/ST (D, ARI)",SEA,14,18.10,317.80,2.65,1.17,0.70,0.10,2.7-14.9,8.80,8.31,$3300,2.52
"Baltimore D/ST (D, BAL)",NO,15,25.00,395.60,2.60,0.98,0.82,0.18,2-15.56,8.78,7.84,$3000,2.61
"Miami D/ST (D, MIA)",DEN,16,22.20,346.60,2.38,1.09,0.70,0.16,1.58-15.2,8.39,7.44,$2800,2.66
"San Diego D/ST (D, SD)",STL,17,21.90,338.30,2.56,0.94,0.68,0.16,2.66-14.02,8.34,7.64,$2900,2.63
"Cleveland D/ST (D, CLE)",ATL,18,21.90,356.60,2.36,1.24,0.48,0.14,1.65-14.65,8.15,7.32,$3200,2.29
"Detroit D/ST (D, DET)",NE,19,22.50,358.00,2.26,1.06,0.74,0.10,2.25-13.81,8.03,7.54,$2800,2.69
"Tampa Bay D/ST (D, TB)",CHI,20,24.20,364.90,2.14,0.76,0.76,0.18,1.81-13.91,7.86,6.9,$2900,2.38
"Cincinnati D/ST (D, CIN)",HOU,21,23.60,341.40,2.02,1.11,0.58,0.18,-0.31-15.67,7.68,6.72,$2900,2.32
"Atlanta D/ST (D, ATL)",CLE,22,24.70,334.90,1.89,1.04,0.68,0.06,2.37-10.41,6.39,6.01,$2700,2.23
"Oakland D/ST (D, OAK)",KC,23,26.40,364.20,1.98,0.76,0.60,0.08,1.21-11.33,6.27,5.78,$2700,2.14
"St. Louis D/ST (D, STL)",SD,24,24.30,363.00,2.02,0.58,0.82,0.10,-0.33-12.85,6.26,5.66,$2900,1.95
"Jacksonville D/ST (D, JAC)",IND,25,27.90,408.80,1.41,0.76,0.63,0.16,-1.81-14.21,6.20,5.39,$2700,2
"New York Giants D/ST (D, NYG)",DAL,26,26.90,393.70,1.95,0.58,0.64,0.06,1.33-10.51,5.92,5.67,$2700,2.1
"New Orleans D/ST (D, NO)",BAL,27,30.30,410.00,2.17,0.76,0.60,0.10,-0.47-12.13,5.83,5.25,$2900,1.81
"Minnesota D/ST (D, MIN)",GB,28,28.50,407.50,1.88,0.90,0.60,0.08,-0.39-10.41,5.01,4.64,$2600,1.78
"Pittsburgh D/ST (D, PIT)",BYE,29,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,10,$0,0
"Carolina D/ST (D, CAR)",BYE,29,0.00,0.00,0.00,0.00,0.00,0.00,0-0,0.00,10,$0,0
