,Opp,,Ranks,,Passing,,,,Rushing,,,numberFire,,DraftKings,,
Player,Team,Def Rank,Ovr,Pos,C/A,Yds,TDs,INTs,Att,Yds,TDs,CI,FP,FP,Cost,Value
"Peyton Manning (QB, DEN)",MIA,#1,1,1,31.75/49.70,358.80,2.38,1.31,1.55,1.64,0.02,12.54-29.86,21.20,25.72,$9400,2.74
"Aaron Rodgers (QB, GB)",MIN,#15,2,2,24.33/37.14,298.61,2.13,0.72,2.86,10.82,0.22,12.96-28.54,20.75,22.02,$9900,2.22
"Drew Brees (QB, NO)",BAL,#5,3,3,25.20/39.95,295.91,2.13,0.74,2.48,9.08,0.10,10.9-29.12,20.01,21.06,$8200,2.57
"Tom Brady (QB, NE)",DET,#2,4,4,24.36/38.21,287.33,2.26,0.70,2.01,3.50,0.10,13.34-26.32,19.83,20.7,$8600,2.41
"Philip Rivers (QB, SD)",STL,#17,5,5,24.51/37.12,295.95,2.21,0.56,1.76,3.53,0.04,12.99-26.41,19.70,20.55,$6600,3.11
"Matt Ryan (QB, ATL)",CLE,#18,6,6,26.05/40.77,303.53,2.09,0.95,1.68,3.56,0.12,13.14-25.6,19.37,23.57,$6300,3.74
"Andrew Luck (QB, IND)",JAC,#19,7,7,24.92/37.96,305.50,2.09,0.72,2.28,2.03,0.02,12.27-25.73,19.00,23.02,$9700,2.37
"Joe Flacco (QB, BAL)",NO,#31,8,8,23.49/34.94,271.48,1.88,0.84,3.16,13.65,0.18,11.29-26.63,18.96,20.06,$6700,2.99
"Alex Smith (QB, KC)",OAK,#14,9,9,22.92/35.21,278.99,1.99,0.64,3.16,10.47,0.08,12.37-25.41,18.89,20.01,$5600,3.57
"Tony Romo (QB, DAL)",NYG,#20,10,10,22.09/34.14,281.10,2.16,0.70,2.61,3.11,0.04,10.85-26.69,18.77,19.83,$7500,2.64
"Josh McCown (QB, TB)",CHI,#30,13,11,23.68/37.97,268.12,1.71,0.88,2.59,13.09,0.14,11.02-24.28,17.65,18.79,$6600,2.85
"Matthew Stafford (QB, DET)",NE,#9,15,12,25.19/41.90,277.77,1.79,0.93,2.97,12.30,0.07,9.97-25.01,17.49,18.78,$6900,2.72
"Jay Cutler (QB, CHI)",TB,#28,16,13,22.08/32.46,258.53,1.83,0.62,1.74,5.16,0.08,11.16-23.16,17.16,17.91,$7700,2.33
"Eli Manning (QB, NYG)",DAL,#16,17,14,23.20/37.69,260.55,1.56,0.86,3.30,15.79,0.18,11.06-23.1,17.08,18.4,$5800,3.17
"Russell Wilson (QB, SEA)",ARI,#3,18,15,18.45/34.24,218.22,1.45,0.88,6.15,31.68,0.24,7.64-25.38,16.51,17.98,$7600,2.37
"Mark Sanchez (QB, PHI)",TEN,#27,19,16,23.22/36.63,276.67,1.83,0.96,1.72,3.42,0.04,9.79-23.13,16.46,17.83,$6800,2.62
"Colin Kaepernick (QB, SF)",WSH,#22,20,17,20.59/34.37,243.50,1.41,0.86,4.77,24.86,0.12,8.43-24.43,16.43,17.51,$6500,2.69
"Ryan Mallett (QB, HOU)",CIN,#21,21,18,20.89/33.23,246.63,1.58,0.78,2.98,7.15,0.16,9.91-22.35,16.13,17.13,$5400,3.17
"Brian Hoyer (QB, CLE)",ATL,#32,22,19,20.88/33.70,249.28,1.55,0.50,1.99,2.28,0.12,10.31-21.33,15.82,16.48,$5900,2.79
"Drew Stanton (QB, ARI)",SEA,#11,23,20,19.91/33.58,222.68,1.35,0.52,3.55,17.68,0.20,7.55-23.83,15.69,16.66,$5500,3.03
"Ryan Tannehill (QB, MIA)",DEN,#10,25,21,25.08/39.71,276.31,1.49,1.06,1.80,4.84,0.08,8.09-22.41,15.25,16.65,$7200,2.31
"Kyle Orton (QB, BUF)",NYJ,#24,26,22,24.39/39.36,274.20,1.73,1.04,1.81,1.37,0.04,7.75-22.51,15.13,16.79,$5600,3
"Andy Dalton (QB, CIN)",HOU,#4,28,23,23.74/41.82,274.13,1.29,1.35,3.49,15.36,0.00,6.58-22.64,14.61,16.18,$6300,2.57
"Michael Vick (QB, NYJ)",BUF,#7,30,24,18.47/33.52,200.46,1.09,0.86,4.21,26.87,0.20,3.9-23.84,13.87,15.11,$6200,2.44
"Robert Griffin III (QB, WSH)",SF,#8,31,25,19.83/35.98,201.18,1.39,1.18,3.07,19.38,0.20,2.41-24.93,13.67,15.21,$5800,2.62
"Shaun Hill (QB, STL)",SD,#26,33,26,21.61/35.48,240.69,1.31,0.94,1.56,2.62,0.02,5.8-19.9,12.85,14.13,$5100,2.77
"Blake Bortles (QB, JAC)",IND,#25,43,27,21.23/35.93,217.00,0.98,1.38,3.44,15.46,0.04,5.06-17.34,11.20,12.91,$5600,2.31
"Teddy Bridgewater (QB, MIN)",GB,#13,45,28,18.70/33.10,198.89,0.92,1.24,2.94,12.89,0.12,4.51-17.15,10.83,12.24,$5100,2.4
"Zach Mettenberger (QB, TEN)",PHI,#6,49,29,20.48/35.22,210.79,1.11,1.18,1.40,1.78,0.02,4.16-15.96,10.06,11.69,$5300,2.21
"Derek Carr (QB, OAK)",KC,#12,50,30,19.43/36.29,206.84,1.01,1.36,1.32,4.66,0.06,3.49-16.53,10.01,11.56,$5200,2.22
"Mike Glennon (QB, TB)",CHI,#30,232,31,1.49/2.47,16.36,0.10,0.08,0.23,1.11,0.01,0.47-1.57,1.02,1.13,$5000,0.23
"E.J. Manuel (QB, BUF)",NYJ,#24,236,32,1.45/2.44,16.17,0.09,0.06,0.17,0.69,0.00,0.3-1.64,0.97,1,$5000,0.2
