Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Calvin Johnson (WR, DET)",NE,#9,34,1,0.00,0.00,0.00,6.10,96.21,0.52,3.82-21.66,12.74,18.88,$7800,2.42
"Jordy Nelson (WR, GB)",MIN,#15,35,2,0.00,0.00,0.00,5.82,83.72,0.73,5.03-20.29,12.66,18.57,$8300,2.24
"Brandon Marshall (WR, CHI)",TB,#28,36,3,0.08,0.72,0.00,5.93,92.41,0.48,5.06-19.16,12.11,18.08,$7100,2.55
"Randall Cobb (WR, GB)",MIN,#15,37,4,0.04,0.24,0.00,5.63,82.39,0.66,5.42-18.76,12.09,17.81,$7600,2.34
"Dez Bryant (WR, DAL)",NYG,#20,38,5,0.00,0.00,0.00,6.02,76.49,0.68,5.01-18.47,11.74,17.79,$8100,2.2
"Julio Jones (WR, ATL)",CLE,#18,39,6,0.04,0.08,0.00,5.97,78.33,0.66,5.57-17.89,11.73,17.78,$7000,2.54
"Demaryius Thomas (WR, DEN)",MIA,#1,40,7,0.00,0.00,0.00,6.20,88.03,0.49,3.98-19.18,11.58,17.86,$8700,2.05
"A.J. Green (WR, CIN)",HOU,#4,41,8,0.12,0.55,0.00,6.17,93.45,0.39,1.76-21.18,11.47,17.79,$7300,2.44
"Jeremy Maclin (WR, PHI)",TEN,#27,41,8,0.00,0.00,0.00,5.12,77.71,0.62,4.66-18.28,11.47,16.69,$7900,2.11
"Alshon Jeffery (WR, CHI)",TB,#28,42,9,0.12,0.70,0.00,5.97,89.62,0.40,5.72-17.12,11.42,17.41,$7200,2.42
"Golden Tate (WR, DET)",NE,#9,51,10,0.16,0.50,0.00,5.25,69.54,0.52,4.58-15.36,9.97,15.28,$6900,2.21
"T.Y. Hilton (WR, IND)",JAC,#19,52,11,0.04,0.12,0.00,4.55,66.86,0.55,3.39-16.45,9.92,14.55,$7600,1.91
"Odell Beckham (WR, NYG)",DAL,#16,53,12,0.15,1.95,0.00,5.09,70.79,0.45,3.93-15.85,9.89,15.02,$6100,2.46
"Julian Edelman (WR, NE)",DET,#2,55,13,0.30,1.55,0.00,6.47,74.61,0.38,4.32-15.3,9.81,16.36,$6000,2.73
"Steve Smith (WR, BAL)",NO,#31,56,14,0.00,0.00,0.00,5.24,74.75,0.39,3.97-15.61,9.79,15.1,$4800,3.15
"Mike Wallace (WR, MIA)",DEN,#10,59,15,0.09,-0.24,0.00,5.34,72.09,0.43,2.09-17.07,9.58,15.02,$4900,3.07
"Mike Evans (WR, TB)",CHI,#30,61,16,0.00,0.00,0.00,5.42,72.76,0.38,4.04-15.06,9.55,15.02,$7800,1.93
"Sammy Watkins (WR, BUF)",NYJ,#24,62,17,0.12,0.16,0.00,4.26,65.17,0.48,4.51-14.21,9.36,13.69,$5600,2.44
"Marques Colston (WR, NO)",BAL,#5,66,18,0.00,0.00,0.00,4.25,65.60,0.44,2.11-16.21,9.16,13.47,$4200,3.21
"Roddy White (WR, ATL)",CLE,#18,67,19,0.00,0.00,0.00,5.19,72.14,0.33,4.01-14.19,9.10,14.38,$6200,2.32
"Anquan Boldin (WR, SF)",WSH,#22,69,20,0.00,0.00,0.00,5.05,65.78,0.43,4.09-14.07,9.08,14.17,$5200,2.73
"Percy Harvin (WR, NYJ)",BUF,#7,70,21,0.88,6.69,0.09,5.56,57.20,0.35,1.39-16.57,8.98,14.57,$4700,3.1
"Andre Johnson (WR, HOU)",CIN,#21,72,22,0.00,0.00,0.00,5.78,66.04,0.37,2.94-14.66,8.80,14.58,$5200,2.8
"DeSean Jackson (WR, WSH)",SF,#8,74,23,0.14,0.75,0.00,3.53,58.82,0.46,2.72-14.74,8.73,12.25,$6500,1.88
"Keenan Allen (WR, SD)",STL,#17,75,24,0.00,0.00,0.00,5.27,65.71,0.33,2.97-14.37,8.67,13.98,$4900,2.85
"Emmanuel Sanders (WR, DEN)",MIA,#1,76,25,0.14,1.83,0.00,4.52,62.95,0.37,2.95-14.37,8.66,13.24,$8000,1.66
"Reggie Wayne (WR, IND)",JAC,#19,77,26,0.00,0.00,0.00,4.94,62.50,0.40,1.7-15.56,8.63,13.59,$5400,2.52
"Josh Gordon (WR, CLE)",ATL,#32,78,27,0.00,0.00,0.00,4.65,67.85,0.32,3.05-14.17,8.61,13.32,$6300,2.11
