Opp,,Ranks,,Rushing,,,Receiving,,,numberFire,,DraftKings,,,
Player,Team,Def Rank,Ovr,Pos,Att,Yds,TDs,Rec,Yds,TDs,CI,FP,FP,Cost,Value
"Rob Gronkowski (TE, NE)",MIA,#7,61,1,0.00,0.00,0.00,6.00,66.98,0.54,3.47-16.39,9.93,15.94,$7600,2.1
"Jimmy Graham (TE, NO)",CHI,#30,69,2,0.00,0.00,0.00,5.14,61.42,0.55,1.28-17.52,9.40,14.56,$6300,2.31
"Antonio Gates (TE, SD)",DEN,#13,78,3,0.00,0.00,0.00,4.67,55.45,0.51,2.88-14.34,8.61,13.28,$4500,2.95
"Martellus Bennett (TE, CHI)",NO,#32,82,4,0.00,0.00,0.00,5.36,57.80,0.43,2.76-13.84,8.30,13.72,$5900,2.33
"Greg Olsen (TE, CAR)",TB,#24,92,5,0.00,0.00,0.00,5.08,60.61,0.29,2.5-12.96,7.73,12.88,$5400,2.39
"Travis Kelce (TE, KC)",OAK,#17,93,6,0.00,0.00,0.00,4.55,54.30,0.39,3.19-12.23,7.71,12.28,$4600,2.67
"Julius Thomas (TE, DEN)",SD,#23,98,7,0.00,0.00,0.00,4.58,53.12,0.41,1.84-13.3,7.57,12.25,$5100,2.4
"Coby Fleener (TE, IND)",HOU,#4,117,8,0.00,0.00,0.00,3.50,44.40,0.31,1.88-10.4,6.14,9.72,$4700,2.07
"Delanie Walker (TE, TEN)",NYJ,#28,121,9,0.02,0.14,0.00,3.92,41.60,0.30,0.66-11.12,5.89,9.85,$4400,2.24
"Heath Miller (TE, PIT)",ATL,#31,123,10,0.00,0.00,0.00,3.88,40.00,0.30,1.09-10.55,5.82,9.68,$4200,2.3
"Jordan Cameron (TE, CLE)",CIN,#22,127,11,0.00,0.00,0.00,4.00,32.03,0.40,-3.97-15.13,5.58,9.6,$4000,2.4
"Jordan Reed (TE, WSH)",NYG,#19,130,12,0.00,0.00,0.00,4.76,38.09,0.29,0.13-10.83,5.48,10.29,$4300,2.39
"Jason Witten (TE, DAL)",PHI,#5,132,13,0.00,0.00,0.00,3.60,37.05,0.30,1.38-9.52,5.45,9.13,$3800,2.4
"Dwayne Allen (TE, IND)",HOU,#4,135,14,0.00,0.00,0.00,2.60,33.36,0.33,1.17-9.51,5.34,7.92,$3300,2.4
"Owen Daniels (TE, BAL)",JAC,#15,141,15,0.00,0.00,0.00,3.12,34.27,0.29,2.05-8.27,5.16,8.33,$3000,2.78
"Scott Chandler (TE, BUF)",GB,#21,145,16,0.00,0.00,0.00,3.11,33.01,0.26,1.44-8.3,4.87,7.97,$3400,2.34
"Jared Cook (TE, STL)",ARI,#3,146,17,0.04,0.29,0.00,3.50,36.45,0.20,1.66-8.06,4.86,8.39,$4000,2.1
"Larry Donnell (TE, NYG)",WSH,#25,148,18,0.00,0.00,0.00,3.68,32.50,0.26,0.64-8.88,4.76,8.47,$3800,2.23
"Mychal Rivera (TE, OAK)",KC,#14,150,19,0.00,0.00,0.00,3.46,34.45,0.20,1.72-7.48,4.60,8.19,$4400,1.86
"Garrett Graham (TE, HOU)",IND,#20,170,20,0.00,0.00,0.00,2.68,24.09,0.24,0.1-7.44,3.77,6.49,$3000,2.16
"Kyle Rudolph (TE, MIN)",DET,#2,171,21,0.00,0.00,0.00,2.94,29.62,0.13,-0.13-7.63,3.75,6.68,$3000,2.23
"Jermaine Gresham (TE, CIN)",CLE,#12,171,21,0.00,0.00,0.00,3.15,26.67,0.18,0.62-6.88,3.75,6.9,$3100,2.23
"Charles Clay (TE, MIA)",NE,#9,173,22,0.00,0.00,0.00,3.05,27.70,0.16,0.06-7.32,3.69,6.76,$3200,2.11
"Eric Ebron (TE, DET)",MIN,#18,174,23,0.00,0.00,0.00,2.51,23.93,0.22,0.12-7.22,3.67,6.2,$3000,2.07
"Anthony Fasano (TE, KC)",OAK,#17,179,24,0.00,0.00,0.00,2.57,23.86,0.17,0.21-6.65,3.43,5.98,$3000,1.99
"Jace Amaro (TE, NYJ)",TEN,#29,182,25,0.00,0.00,0.00,2.61,19.47,0.23,-0.29-7.01,3.36,5.98,$3000,1.99
"Brent Celek (TE, PHI)",DAL,#27,187,26,0.00,0.00,0.00,2.28,22.37,0.17,-0.3-6.76,3.23,5.54,$3000,1.85
"Austin Seferian-Jenkins (TE, TB)",CAR,#16,190,27,0.00,0.00,0.00,2.51,20.60,0.17,-1.02-7.12,3.05,5.59,$3000,1.86
"John Carlson (TE, ARI)",STL,#8,191,28,0.00,0.00,0.00,2.62,25.59,0.09,0.31-5.77,3.04,5.71,$3000,1.9
"Vernon Davis (TE, SF)",SEA,#6,193,29,0.02,-0.22,0.00,2.55,24.56,0.10,0.21-5.71,2.96,5.54,$3000,1.85
"Michael Palmer (TE, PIT)",ATL,#31,194,30,0.00,0.00,0.00,0.86,9.79,0.33,0.86-5.04,2.95,3.84,$3000,1.28
"Marcedes Lewis (TE, JAC)",BAL,#11,194,30,0.00,0.00,0.00,2.17,18.03,0.20,-0.57-6.47,2.95,5.15,$3200,1.61
"Andrew Quarless (TE, GB)",BUF,#1,194,30,0.00,0.00,0.00,1.58,20.18,0.16,0.43-5.47,2.95,4.54,$3000,1.51
"Tim Wright (TE, NE)",MIA,#7,196,31,0.01,0.15,0.00,1.70,19.48,0.16,0.3-5.54,2.92,4.62,$3000,1.54
"Zach Ertz (TE, PHI)",DAL,#27,197,32,0.00,0.00,0.00,1.25,17.02,0.20,-0.36-6.08,2.86,4.14,$3200,1.29
"Niles Paul (TE, WSH)",NYG,#19,197,32,0.00,0.00,0.00,1.80,18.91,0.17,0.33-5.39,2.86,4.69,$3000,1.56
